Company_Name,Founded,Location,Sector,What_it_does,Founders,Investor,Amount,Stage,Funding_Year,Main_Sector,Stages,Years of Existence
Probus,2017,New Delhi,IoT,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.","Anand Singh, Ankit Vaish, Sunny Kumar Jadoon",Unicorn India Ventures,500000.0,Bridge,2021,,Scaling,4.0
DrinkPrime,2016,Bangalore,Consumer Goods,India's Smartest Water Purifiers and are redefining water purifier ownership.,Anil Kejriwal, Western Capital,1000000.0,,2021,Commerce & Retail,Unknown,5.0
SATYA MicroCapital,2017,New Delhi,Banking,Satya MicroCapital Limited is a Delhi based NBFC serving low income entrepreneurs in rural and urban areas.,Vivek Tiwari, Blue Orchard,10000000.0,,2021,Financial Services,Unknown,4.0
Hashnode,2016,Bangalore,Computer software,The easiest way to start a blog on personal domain for free & connect with the readers through our dev community,"Syed Fazle Rahman, Sandeep Panda", Sequoia Capital India’s Surge,6700000.0,Series A,2021,,Early Traction,5.0
RACEnergy,2018,Hyderabad,Automotive,RACEnergy is working to power the future of mobility through clean and efficient technologies.,Arun Sreyas Reddy, growX ventures,1300000.0,Seed+,2021,Transport,Validation,3.0
BharatPe,2018,New Delhi,FinTech,The vision to make financial inclusion a reality for Indian merchants.,"Ashneer Grover, Shashvat Nakrani", Northern Arc Capital,20000000.0,Debt,2021,,Unknown,3.0
Gyde,2019,Pune,Computer software,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.","Prasanna Vaidya, Shubham Deshmukh", Ashish Achrekar,250000.0,Seed,2021,,Validation,2.0
BatteryPool,2018,Pune,Automotive,Building the Operating System for managing Electric Vehicles in fleets.,Ashwin Shankar,IAN,3000000.0,Seed,2021,Transport,Validation,3.0
AgNext,2016,Chandigarh,AgriTech,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",Taranjeet Singh Bhamra,Alpha Wave Incubation,21000000.0,Series A,2021,Agriculture,Early Traction,5.0
Xpresslane,2019,Bangalore,Tech startup,"Xpresslane makes checkout fast and easy. With a unified identity across all e-commerce merchants, it brings efficiency and perfection in the overall checkout experience of the user.",Ashwin Koorakula, Manipal Technologies.,400000.0,Pre-seed,2021,,Ideation,2.0
LoanKuber,2016,New Delhi,Digital mortgage,LoanKuber is the lowest cost lender to Yest-to be Bankable - enabling borrowing with trust and confidence.,Saurabh Nagpal,Unknown,1200000.0,Pre-series A,2021,,Validation,5.0
YPay,2017,Noida,FinTech,YPay Card is the new way to manage money.,Dr Navneet Gupta,We Founder Circle,400000.0,,2021,,Unknown,4.0
SleepyCat,2017,Mumbai,Furniture,An online sleep solutions company that believes in delivering luxurious sleep to everyone.,Kabir Siddiq, Sharrp Ventures,3800000.0,,2021,Commerce & Retail,Unknown,4.0
Ultrahuman,2020,Bangalore,Healthcare,Ultrahuman is a global health and fitness platform that aids our user to achieve their true physical and mental potential.,"Mohit Kumar, Vatsal Singhal",Tiger Global’s Scott Schleifer,17500000.0,,2021,Software & Technology,Unknown,1.0
UpScalio,2021,Gurugram,E-commerce,"UpScalio is India’s next generation, data-driven consumer goods company.",Gautam Kshatriya, InnoVen Capital,42000000.0,,2021,Commerce & Retail,Unknown,0.0
Yellow Class,2020,Gurugram,EdTech,"Yellow Class is a new-age fun-learning platform where kids between 2-12 years can learn from a wide range of classes like dancing, drawing, personality development, creative writing and so on","Anshul Gupta, Arpit Mittal",Elevation Capital,6000000.0,,2021,,Unknown,1.0
Yojak,2019,Gurugram,B2B marketplace,India’s first B2B online marketplace for building material.,Anuj Jain,Info Edge Ventures,3800000.0,,2021,Commerce & Retail,Unknown,2.0
CreatorStack,2019,Bangalore,Computer software,Helping creators globally to engage deeply with their fans and communities,"Ankit Acharya, Kevin William David",Accel,2000000.0,,2021,,Unknown,2.0
Expertrons,2019,Mumbai,EdTech,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,"Jatin Solank, Vivek Gupta", Lead Angels,2300000.0,,2021,,Unknown,2.0
Rage Coffee,2018,New Delhi,Food & Beverages,"Rage Coffee is a digitally native FMCG company that manufactures, markets & distributes innovative coffee products.",Bharat Sethi,Sixth Sense Ventures,5000000.0,,2021,Food & Beverage,Unknown,3.0
Klub,2019,Bangalore,Financial Services,Klub was founded with the vision of revolutionizing growth capital for Asia’s most loved brands.a,"Anurakt Jain, Ishita Verma", Sequoia Capital India’s Surge,20000000.0,,2021,Financial Services,Unknown,2.0
Navia Life Care,2016,New Delhi,Healtcare,Navia Life Care is a health technlogy company with a special focus on patient care.,"Nupur Khandelwal, Kunal Kishore Dhawan, Gaurav Gupta", 9 Unicorns,1000000.0,,2021,Health & Life Sciences,Unknown,5.0
1K Kirana Bazaar,2018,Gurugram,Retail,India's First and Largest Network of Small-Town Kirana Stores,"Abhishek Halder, Anilesh Yadav, Kumar Sangeetesh", FalconEdge,7000000.0,,2021,Commerce & Retail,Unknown,3.0
Zupee,2018,Gurugram,Gaming,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications","Dilsher Singh, Siddhant Saurabh", Tomales Bay Capital,30000000.0,,2021,,Unknown,3.0
Locale.ai,2019,Bangalore,Location Analytics,Location Analytics for Companies With Moving Assets and Ground Operations.,"Rishabh Jain, Aditi Sinha", Better Capital,1000000.0,,2021,Business Services,Unknown,2.0
VerSe Innovation,2018,Bangalore,Media,"The core of the company (VerSe Innovation), is the idea that technology can help bridge the digital divide.",Umang Bedi, Baillie Gifford,450000000.0,,2021,,Unknown,3.0
MetroRide,2020,Bangalore,Transportation,"Urban Mobility Affordable, Punctual & Sustainable.","Girish Nagpal, Kaaman Agarwal", 9Unicorns Accelerator Fund,3000000.0,,2021,Transport,Unknown,1.0
Whiz League,2020,New Delhi,EdTech,Revolutionizing learning experience that goes beyond academia,"Natasha Jain, Sonia Agarwal Bajaj",ITI Growth Opportunities,300000.0,,2021,,Unknown,1.0
Hash,2020,New Delhi,Tobacco,Hash is a new startup in consumer goods.,Shwetank Jain,Amrac Investment Trust,3500000.0,,2021,Health & Life Sciences,Unknown,1.0
FlashPrep,2020,Bangalore,EdTech,FlashPrep is the smart way to master learning.,"Dhiresh Nagwani, Ashwini Dhekane",Venture Highway,500000.0,Pre-seed,2021,,Ideation,1.0
Kenko Health,2019,Mumbai,Insuretech,"A unique healthcare financing solution focusing on ROI, affordability and superior customer experience","Aniruddha Sen, Dhiraj Goel", Orios,1700000.0,Pre-series A,2021,Financial Services,Validation,2.0
Wiz Freight,2020,Chennai,Logistics & Supply Chain,"Wiz is a tech-enabled freight forwarding platform. We make global shipping efficient, hassle-free and highly visible for businesses.","Ramkumar Govindarajan, Ramkumar Ramachandran",Axilor,3500000.0,Seed,2021,Transport,Validation,1.0
Credgenics,2018,New Delhi,Financial Services,Credgenics is India’s first of it's kind NPA resolution platform backed by credible investors including Accel Partners and Titan Capital.,"Rishabh Goel, Mayank Khera, Anand Agrawal", Tanglin Venture Partners,25000000.0,Series A,2021,Financial Services,Early Traction,3.0
BlueLearn,2020,Goa,EdTech,"Building India's largest student community. Learn, network, and grow together with 40,000+ students!","Harish Uthayakumar, Shreyans Sancheti", Gaurav Mandlecha,400000.0,Pre-seed,2021,,Ideation,1.0
NimbleBox.ai,2018,Chennai,MLOps platform,A full-stack MLOps platform built to create & launch multi-cloud apps on the cloud,"Anshuman Pandey, Rohan Pooniwala",Venture Catalysts,1000000.0,Seed,2021,,Validation,3.0
Grip Invest,2020,Gurugram,Financial Services,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.","Nikhil Aggarwal, Vivek Gulati", Endiya Partners,3000000.0,Series A,2021,Financial Services,Early Traction,1.0
Neeman,2017,Hyderabad,Consumer Goods,India's first Startup to use the world's most revolutionary Natural & Renewable fibers in Footwear,Taran Chhabra,Sixth Sense Ventures,2000000.0,Series A,2021,Commerce & Retail,Early Traction,4.0
BharatPe,2018,New Delhi,FinTech,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.","Ashneer Grover, Shashvat Nakrani",Tiger Global,370000000.0,Series E,2021,,Scaling,3.0
GoSats,2020,Bangalore,FinTech,GoSats is a bitcoin stacking app that lets users earn bitcoin cashbacks when they shop with our partnered merchants.,"Mohammed Roshan, Roshni Aslam", SBX Capital,700000.0,Seed,2021,,Validation,1.0
StockGro,2020,Bangalore,FinTech,Making Investment Social- India's First Social Trading Platform,Ajay Lakhotia, Velo Partners,5000000.0,Pre-series A,2021,,Validation,1.0
Onsurity,2020,Bangalore,Healthcare,"Onsurity is a HealthTech & Employee Benefits organization, disrupting the SME and startup healthcare market with technology and innovation!","Yogesh Agarwal, Kulin Shah",Nexus Venture Partners,16000000.0,Series A,2021,Software & Technology,Early Traction,1.0
Khabri,2017,Gurugram,Media,Khabri is India’s fastest growing vernacular audio platform targeted at next billion internet users.,"Pulkit Sharma, Aankit Roy, Sandeep Singh", Advent Management,2000000.0,Pre-series A,2021,,Validation,4.0
Celcius,2020,Mumbai,Logistics,Celcius is a asset light startup with a web and app based SaaS platform which brings the complete cold chain solution network ONLINE,Swarup Bose, Lumis Partners,500000.0,,2021,Transport,Unknown,1.0
AyuRythm,2017,Bangalore,Healthcare,AyuRythm is the world's first completely digital solution for personalized holistic wellness based on Ayurvedic principles.,Abhilesh Gupta,SucSEED Indovation Fund,3000000.0,Seed,2021,Software & Technology,Validation,4.0
Rocket Skills,2020,Gurugram,EdTech,Rocket Skills is the #1 Platform for learning skills which will bring a high positive impact on your business and life skills.,"Vibhu Bahuguna, Mohit Jain", Titan Capital,200000.0,Pre-seed,2021,,Ideation,1.0
Faarms,2020,Bangalore,AgriTech,FAARMS™ is a new age digital platform which aims to offer a one-stop solution to farmers.,"Taranbir Singh, Alok Duggal", India Quotient,2000000.0,Seed,2021,Agriculture,Validation,1.0
UrbanMatrix Technologies,2019,Chennai,Drone,Helping Industries & Organizations to seamlessly adopt drones in their workflow to elevate efficiency & profitability,"Rishabh Verma, Ashutosh Kumar, Divyanshu Pundir",SARA ELGI,100000.0,,2021,,Unknown,2.0
Jupiter,2019,Mumbai,Banking,"A digital banking experience that keeps pace with you, and helps master money too.",Jitendra Gupta, Matrix Partners India,44000000.0,Series B,2021,Financial Services,Scaling,2.0
Toothsi,2018,Mumbai,Health,India’s first and largest at home smile makeover service using invisible aligners.,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale", Mankekar Family Office,20000000.0,Series B,2021,Health & Life Sciences,Scaling,3.0
Goodmeetings,2020,Bangalore,Computer software,AI-Based Platform Built Exclusively for Remote Selling,Srinivasan Narayan,Chiratae Ventures,1700000.0,Series A,2021,,Early Traction,1.0
Apnaklub,2020,Bangalore,Wholesale,Apnaklub is India's most trusted wholesale platform that empowers people to set up their own retail and sales businesses by providing better-than-industry margins,"Shruti, Manish Kumar",Sequoia’s Surge,3500000.0,Seed,2021,Commerce & Retail,Validation,1.0
ChefKart,2020,Gurugram,Consumer Goods,"ChefKart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.","Vaibhav Gupta, Arpit Gupta, Aman Gupta", Pravega Ventures,300000.0,Pre-seed,2021,Commerce & Retail,Ideation,1.0
Fashinza,2020,Gurugram,Apparel & Fashion,A new-age supply chain and product development platform for the fashion industry.,"Pawan Gupta, Abhishek Sharma", Elevation Capital,20000000.0,Series A,2021,Beauty and Fashion,Early Traction,1.0
QuickShift,2016,Pune,Logistics & Supply Chain,"Helping D2C brands scale with our AI powered Dashboard that manages Inventory, Order Processing, WMS, Shipping, Customer Support",Anshul Goenka, Axilor Ventures,770000.0,Seed,2021,Transport,Validation,5.0
StackBOX,2016,Bangalore,Logistics & Supply Chain,DISTRIBUTION SIMPLIFIED,"Shanmukha Boora, Sabyasachi Bhattacharjee", CMM group,1200000.0,,2021,Transport,Unknown,5.0
infra.market,2016,Thane,Construction,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,"Souvik Sengupta, Aaditya Sharda",Tiger Global,125000000.0,Series D,2021,,Scaling,5.0
8i Ventures,2018,Mumbai,Venture Capital & Private Equity,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,Vikram Chachra,Unknown,50000000.0,,2021,Financial Services,Unknown,3.0
PayGlocal,2021,Bangalore,Financial Services,PayGlocal is a FinTech solving for global payments acceptance,"Prachi Dharani, Rohit Sukhija, Yogesh Lokhande",Sequoia Capital India,4900000.0,Series A,2021,Financial Services,Early Traction,0.0
Curefit,2016,Bangalore,"Health, Wellness & Fitness",Tata Digital-backed Curefit,"Mukesh Bansal, Ankit",Zomato,145000000.0,,2021,Health & Life Sciences,Unknown,5.0
Pocket FM,2018,Bangalore,OTT,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.","Rohan, Nishanth Srinivas, Prateek Dixit", Tanglin Venture Partners,22000000.0,Series B,2021,,Scaling,3.0
CHARGE+ZONE,2018,Vadodara,Automotive,CHARGE+ZONE is a tech-driven EV Charging infrastructure company specializing in B2B and B2C charging services on both dedicated and opportunity based charging using smart-grid network.,Kartikey Hariyani,Venture Catalysts,10000000.0,,2021,Transport,Unknown,3.0
PlanetSpark,2017,Gurugram,Education Management,PlanetSpark is building the World Leader in Communication Skills for children in the age groups of 4 to 14 years,"Maneesh Dhooper, Kunal Malik", Shirish Nadkarni,13000000.0,Series B,2021,Business Services,Scaling,4.0
Exponent Energy,2020,Bangalore,Automotive,Simplifying energy for EVs by building a Flexible Energy Stack.,"Arun Vinayak, Sanjay Byalal",YourNest VC,5000000.0,Pre-series A,2021,Transport,Validation,1.0
Trinkerr,2021,Bangalore,Capital Markets,Trinkerr is India's first social trading platform.,"Manvendra Singh, Gaurav Agarwal",Accel India,6600000.0,Series A,2021,Financial Services,Early Traction,0.0
Zorro,2021,Gurugram,Social network,Pseudonymous social network platform,"Jasveer Singh, Abhishek Asthana, Deepak Kumar", Ankiti Bose,32000000.0,Seed,2021,,Validation,0.0
Ultraviolette,2021,Bangalore,Automotive,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,"Subramaniam Narayan, Niraj Rajmohan", Zoho,150000000.0,Series C,2021,Transport,Scaling,0.0
Unremot,2020,Bangalore,Information Technology & Services,Unremot is a personal office for consultants!,Shiju Radhakrishnan,Inflection Point Ventures,700000.0,Seed,2021,Software & Technology,Validation,1.0
FanAnywhere,2021,Bangalore,Financial Services,Celebrity NFT platform,"Varun Chaudhary, Amit Kumar", DeltaHub Capital,3000000.0,Seed,2021,Financial Services,Validation,0.0
PingoLearn,2021,Pune,E-learning,PingoLearn offers language learning courses with snackable videos.,"Mohit Menghani, Shubham Maheshwari", AngelList Syndicate,200000.0,,2021,Commerce & Retail,Unknown,0.0
Spry,2021,Mumbai,Music,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,"Gaurav Dagaonkar, Meghna Mittal", Ashneer Grover,1500000.0,Seed,2021,Media and Entertainment,Validation,0.0
ASQI Advisors,2019,Mumbai,Financial Services,Bringing Blockchain technology intro mainstream finance!,Swapnil Pawar,Founders Room Capital,1000000.0,Pre-series A,2021,Financial Services,Validation,2.0
Insurance Samadhan,2018,New Delhi,Insurance,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,Deepak Bhuvenshwari Uniyal, ZNL,725000.0,Pre-series A,2021,Financial Services,Validation,3.0
Evenflow Brands,2020,Mumbai,Consumer Goods,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,"Utsav Agarwal, Pulkit Chhabra",A91 Partners,500000.0,,2021,Commerce & Retail,Unknown,1.0
MasterChow,2020,,Hauz Khas,A ready-to-cook Asian cuisine brand,"Vidur Kataria, Sidhanth Madan",WEH Ventures,461000.0,Seed,2021,,Validation,1.0
MoEVing,2021,Gurugram,Electric Mobility,"Vikash Mishra, Mragank Jain","Anshuman Maheshwary, Dr Srihari Raju Kalidindi",,5000000.0,Seed,2021,Transport,Validation,0.0
Pristyn Care,2018,Gurugram,Hospital & Health Care,A new age health tech company that aims to simplify the surgery journey of a patient by offering care at every step.,"Harsimarbir (Harsh) Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney", Abhiraj Singh Bhal,96000000.0,Series E,2021,Hospitality,Scaling,3.0
Plix,2018,Mumbai,"Health, Wellness & Fitness",Plant-based nutraceutical firm,"Rishubh Satiya, Akash Zaveri", RPSG Capital Ventures,5000000.0,Series A,2021,Health & Life Sciences,Early Traction,3.0
Uni Cards,2020,Bangalore,Financial Services,"Uni Card splits your payments into 3 parts, over 3 months, at 0 extra costs.","Nitin Gupta, Prateek Jindal, Laxmikant Vyas", Elevation Capital,70000000.0,Series A,2021,Financial Services,Early Traction,1.0
Practically,2018,Hyderabad,E-learning,An experiential learning app for grades 6th to 12th.,"Subbarao Siddabattula, Charu Noheria, Ilangovel Thulasimani", Earlsfield Capital,5000000.0,,2021,Commerce & Retail,Unknown,3.0
Nestasia,2018,Kolkata,Retail,"Artisanal, Handmade, bio conscious crafts from South East Asia.","Aditi Murarka Agrawal, Anurag Agrawal", Sahil Barua,4000000.0,Series A,2021,Commerce & Retail,Early Traction,3.0
TranZact,2017,Mumbai,Information Technology & Services,A mission to digitize millions of Indian SMEs so they can grow better.,"Ritesh Kumar, Sharad Sen Sharma, Rohan Sen Sharma", Prime Venture Partners,7000000.0,Series A,2021,Software & Technology,Early Traction,4.0
Stack,2020,Bangalore,Financial Services,Stack is an investing platform set to put money to work and help invest like some of the world’s biggest money-makers,"Smriti Tomar, Tushar Vyas", Harvard Management,4500000.0,Seed,2021,Financial Services,Validation,1.0
PropReturns,2020,Mumbai,Real Estate,PropReturns is a platform for users to invest in Indian Real Estate backed by data.,"Jayant Panwar, Kenish Shah", ﻿Goodwater Capital,1200000.0,,2021,Real Estate and Property,Unknown,1.0
WeSkill,2020,Gurugram,E-learning,Act as the bridge for skills providing access to learning and developing these skills at a younger age from the comfort and security of home.,"Shaurya Joshi, Shashank Patidar, Praneet Agarwal", Umang Vohra,4000000.0,Pre-seed,2021,Commerce & Retail,Ideation,1.0
Fitpage,2020,Mumbai,"Health, Wellness & Fitness","An endurance-first fitness tech platform focussed on enabling you to learn, eat, work out and live better.",Vikas Singh, Gaurav Jaitly,300000.0,,2021,Health & Life Sciences,Unknown,1.0
ShopMyLooks,2021,Noida,Digital platform,ShopMyLooks turns social media photos & videos into shop-the-look thus helping creators monetize their entire content.,Rohit Jaiswal, Collective Artists Network,200000.0,,2021,,Unknown,0.0
ByteLearn,2021,Noida,E-learning,AI powered teaching assistant for 100 Mn teachers across the world,, Nishant Sinha,9500000.0,Seed,2021,Commerce & Retail,Validation,0.0
Dista,2017,Pune,Computer Software,Dista is an AI-enabled location intelligence platform that offers a wide range of solutions for businesses to power their mobility and field operations.,"Nishant Kumar, Shishir Gokhale, Deepak Garg",Pentathlon Ventures,1200000.0,Seed,2021,,Validation,4.0
FRND,2019,Bangalore,Online Media,FRND is an audio dating app for Bharat,"Bhanu Pratap Singh Tanwar, Hardik Bansal, Harshvardhan Chhangani",KRAFTON,6500000.0,Series A,2021,,Early Traction,2.0
Metadome,2017,Bangalore,Computer Software,"Metadome (formerly Adloid), is a Metaverse, that provides no-code infrastructure to millions of creators & brands, to build immersive experiences for the virtual world.","Kanav Singla, Prashant Sinha, Shorya Mahajan", Lenskart Vision Fund,4000000.0,Pre-series A,2021,,Validation,4.0
Flo Mobility,2019,Bangalore,Industrial Automation,"An autonomous tech stack that can be applied to agri-bots, delivery bots, two wheelers and other use cases where compact bots need to navigate in crowded, unstructured environments.","Manesh Jain, Mohan Kumar", Blume Founder Fund,400000.0,,2021,Agriculture,Unknown,2.0
Yodacart,2019,Thane,E-commerce,YODACART is an e-commerce startup offering real-time product discovery using AI/ML for appliances based on consumers’ needs with an AR-enabled browsing experience.,Vikas Sharma,Ajith Daneil,225000.0,Pre-seed,2021,Commerce & Retail,Ideation,2.0
TheHouseMonk,2019,Bangalore,Real Estate,A complete property management software platform for team&customers.,"Ajay Kumar, Balaji Varadharajan",Aurum Proptech,5000000.0,,2021,Real Estate and Property,Unknown,2.0
Zepto,2021,Bangalore,E-commerce,"Ability to consistently deliver 2,500+ products in 10 minutes flat.","Aadit Palicha, Kaivalya Vohra",Y-Combinator,100000000.0,,2021,Commerce & Retail,Unknown,0.0
Captain Fresh,2019,Bangalore,Logistics & Supply Chain,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,Utham Gowda, Prosus Ventures,40000000.0,Series B,2021,Transport,Scaling,2.0
Deciwood,2018,New Delhi,Consumer Electronics,"Deciwood makes Eco-friendly wooden speakers using latest technology of Energy tube to enhance sound quality, all products are handmade by skilled people of the industry.",Ananya Meena, Arun Gupta,200000.0,,2021,Commerce & Retail,Unknown,3.0
Kohbee,2019,Bangalore,E-learning,"Kohbee is a mobile app for online trainers and educators to run their online business, end to end.","Rohan Sinha, Shashwat Aditya", Saurabh Aggarwal,235000.0,Pre-seed,2021,Commerce & Retail,Ideation,2.0
Perfora,2021,Gurugram,Consumer Goods,"Building a disruptive, modern, and functional oral care brand for consumers in India and globally.","Tushar Khurana, Jatan Bawa",Sauce.vc,260000.0,Pre-seed,2021,Commerce & Retail,Ideation,0.0
Unbox Robotics,2019,Pune,Logistics & Supply Chain,Unbox Robotics is building software-defined robotics platforms to enable logistics players to automate and radically improve their operations on-demand in a limited footprint and capital.,"Pramod Ghadge, Shahid Memon, Rohit Pitale", Sixth Sense Ventures,7000000.0,Series A,2021,Transport,Early Traction,2.0
Gobillion,2020,New Delhi,Social commerce,Redefining social commerce for Tier 2+ cities in India - making e-commerce SOCIAL!,"Roshan Farhan, Kulapradip Bharali", Pioneer Fund,2900000.0,Seed,2021,,Validation,1.0
RIPPLR,2019,Bangalore,Logistics & Supply Chain,India’s first Plug-n-Play distribution ecosystem for brands,"Abhishek Nehru, Santosh Dabke", Stride Ventures,12000000.0,Pre-series B,2021,Transport,Early Traction,2.0
Eggoz,2017,Gurugram,Food & Beverages,Make a meaningful impact to improve the protein consumption of people by enriching the lives of the rural egg farmers.,"Abhishek Negi, Uttam Kumar, Aditya Singh, Pankaj Pandey", Avaana Capital,3500000.0,Series A,2021,Food & Beverage,Early Traction,4.0
Fabriclore,2016,Jaipur,Apparel & Fashion,"India's top brand of artisanal & contemporary fabrics, offering the largest catalog of both curated & original designs.","Vijay Sharma, Anupam Arya, Sandeep Sharma", Mulberry Silks,700000.0,Pre-series A,2021,Beauty and Fashion,Validation,5.0
Karkinos Healthcare,2020,Mumbai,Hospital & Health Care,"Medical center for treatment of complex cancers; and research center which leverages technologies such as genomics, synthetic biology, sensors, and AI to analyze data and leading to the development of  affordable cancer interventions.","R Venkataramanan, Ravi Kant",Reliance Digital Health,3000000.0,,2021,Hospitality,Unknown,1.0
OWO Technologies,2020,Gurugram,Food & Beverages,An ecommerce startup offering online beverages and packaged drinking water,"Ajay Changani, Hardev Sahu",Sixth Sense Ventures,3000000.0,Seed,2021,Food & Beverage,Validation,1.0
EsportsXO,2020,Bangalore,Mobile Games,EsportsXO is an esports tournament management company which offers software to manage tournaments online.,"Utsav Umang, Rohit Raj, Vikas Goel",We Founder Circle,1100000.0,Seed,2021,Software & Technology,Validation,1.0
Neobank Jupiter,2019,Mumbai,Banking,Jupiter is a digital banking app with one simple aim – to deliver a banking experience that keeps pace with you.,Jitendra Gupta, Sequoia Capital,86000000.0,Series C,2021,Financial Services,Scaling,2.0
Skippi Ice Pops,2021,Hyderabad,Food Production,India's First Icepops Brand,Ravi Kabra,Shark Tank India,130000.0,,2021,Food & Beverage,Unknown,0.0
Glii,2020,Noida,Dating,India’s finest dating companionship application,Shivam Kaushik,We Founder Circle,10000.0,Seed,2021,,Validation,1.0
GlobalBees,2021,New Delhi,E-commerce,Globalbees partners with entrepreneurs who have built an online-first business.,"Nitin Agarwal, Supam Maheshwari", Steadview Capital,111000000.0,Series B,2021,Commerce & Retail,Scaling,0.0
Mamaearth,2016,Gurugram,"Health, Wellness & Fitness",Baby and mother care brand,"Ghazal, Varun Alagh",Sequoia,37000000.0,,2021,Health & Life Sciences,Unknown,5.0
Vendor Infra,2019,Gurugram,Construction,"A B2B Collaboration Platform for Infrastructure Sectors to Search Vendors, Get Quotes, Find Opportunities",Rahul Jain, Sanjeev Gupta,265000.0,,2021,,Unknown,2.0
OneCard,2019,Pune,Financial Services,"India's finest and smartest metal credit card, reimagined for the mobile generation.","Rupesh Kumar, Anurag Sinha, Vibhav Hathi", QED Fund,76000000.0,,2021,Financial Services,Unknown,2.0
Doubtnut,2016,Gurugram,EdTech,"Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.","Aditya Shankar, Tanushree Nagori", Tencent Holdings,30000000.0,Series B,2021,,Scaling,5.0
Infra.Market,2016,Thane,Construction,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"Aaditya Sharda, Souvik Sengupta", Nexus Venture Partners,100000000.0,Series C,2021,,Scaling,5.0
Comofi Medtech,2017,Bangalore,HeathTech,"Comofi Medtech develops healthcare products using artificial intelligence, augmented reality and IoT technologies","Satish Kalme, Kubasad Gururaj",CIIE.CO,200000.0,,2021,,Unknown,4.0
Battery Smart,2019,New Delhi,Battery,Battery Smart provides advanced Li-ion batteries to e-rickshaws.,"Pulkit Khurana, Siddharth Sikka",Orios Venture Partners,3000000.0,Seed,2021,,Validation,2.0
Kutuki,2017,Bangalore,EdTech,Kutuki is a learning platform focused on children between the ages of three and seven.,"Bharath Bevinahally, Sneha Sundaram",Omidyar Network India,2000000.0,Seed,2021,,Validation,4.0
Onelife,2019,Mumbai,Healthcare,"Aspire to leverage the gifts of nature and science to help you make holistic lifestyle changes, with minimalistic effort, improving overall well-being.",Gaurav Aggarwal,Wipro venture capital arm,3000000.0,,2021,Software & Technology,Unknown,2.0
Eupheus,2017,New Delhi,EdTech,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,"Amit Kapoor, Rohit Dhar, Sarveshwar Shrivastava, Ved Prakash Khatri", Sixth Sense Ventures,4000000.0,Series B,2021,,Scaling,4.0
KreditBee,2018,Bangalore,FinTech,KreditBee is an Instant Personal Loan Platform for Young Professionals.,Madhusudan Ekambaram, Alpine Capital,75000000.0,Series C,2021,,Scaling,3.0
Pencil,2019,Mumbai,Content publishing,Pencil is a content publishing platform that enables writers to publish their work for free.,"Malini Nair, Preeti Chib, Swarup Nanda", SucSEED Venture Partners,1000000.0,Pre-series A,2021,,Validation,2.0
Marquee Equity,2016,Mumbai,FinTech,The World's #1 Fundraising Service - Investor Meetings + Deal Documents - Globally,Ash Narain, Arrowroot Capital,3800000.0,,2021,,Unknown,5.0
UptimeAI,2016,Bangalore,AI startup,"Enable true digital transformation with AI driven insights, to enable manufacturers stay ten steps ahead of process inefficiencies and equipment failures","Jagadish Gattu, Vamsi Yalamanchili",YourNest Venture Capital,1500000.0,Seed,2021,,Validation,5.0
WizKlub,2018,Bangalore,EdTech,Wizklub uses a unique method of developing and nurturing Higher Order Thinking Skills in children,Amit Bansal,Incubate Fund India,800000.0,Pre-series A,2021,,Validation,3.0
Zolve,2020,Bangalore,FinTech,Zolve Innovations operates as a neo-banking startup.,Raghunandan G, Greg Kidd,15000000.0,Seed,2021,,Validation,1.0
Express Stores,2019,Gurugram,E-commerce,Express Stores is a retail and omnichannel startup company,"Apoorv Jain, Kartik Gupta", Rohit Bansal,1000000.0,Seed,2021,Commerce & Retail,Validation,2.0
